year,date,siteID,blockID,plotID,treatment,starttime,stoptime,time,PAR,soiltemp,vegHeight,nee,gpp,rsqd,chamber,removal,weather,flag,comment,turfID,soilmoisture,recorder,tempK,starttime_Reco,stoptime_Reco,time_Reco,PAR_Reco,soiltemp_Reco,vegHeight_Reco,Reco,rsqd_Reco,chamber_Reco,removal_Reco,weather_Reco,flag_Reco,comment_Reco,turfID_Reco,soilmoisture_Reco,recorder_Reco,tempK_Reco,delta
2017,2017-07-13,Veskre,Ves3,Ves3GB,GB,2017-07-13T14:04:30Z,2017-07-13T14:05:55Z,85,316.0661111111111,13.1,NA,0.8106923942829444,-1.9127775713918092,0.8652257142334904,1,post,Cloudy,NA,NA,NA,74.875,Overcast,288.748,2017-07-13T14:07:00Z,2017-07-13T14:09:00Z,120,0.8909928,13.1,NA,2.7234699656747536,0.9833653368735953,1,post,Cloudy,NA,NA,NA,74.875,Overcast,288.24699999999996,150
2017,2017-07-12,Veskre,Ves3,Ves3GB,GB,2017-07-12T09:13:55Z,2017-07-12T09:15:45Z,110,937.2648648648649,10.8,NA,-2.7607981891708064,-6.38491099004141,0.9679977706741896,2,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,286.04769999999996,2017-07-12T09:16:16Z,2017-07-12T09:18:16Z,120,1.5008264462809917,10.8,NA,3.6241128008706043,0.9774360647691663,2,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,286.69899999999996,141
2017,2017-07-12,Veskre,Ves3,Ves3GB,GB,2017-07-12T10:02:22Z,2017-07-12T10:03:42Z,80,1557.4851851851852,11.4,NA,-3.944169140317962,-8.056484241686455,0.9702531651804607,2,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,292.2075,2017-07-12T10:05:25Z,2017-07-12T10:07:25Z,120,4.14297520661157,11.4,NA,4.112315101368492,0.9575661601889449,2,post,Sunny,NA,NA,NA,76.775,cloudy with rain; occasional sun,293.0585,183
2017,2017-07-13,Veskre,Ves3,Ves3GB,GB,2017-07-13T09:03:40Z,2017-07-13T09:05:40Z,120,321.6462809917355,10.7,NA,-1.5752002234011873,-4.037908446656759,0.9396120410349416,2,post,Overcast,NA,NA,NA,74.875,Overcast,284.9455,2017-07-13T09:06:11Z,2017-07-13T09:07:51Z,100,1.1673267326732673,10.7,NA,2.462708223255572,0.9561473520369432,2,post,Overcast,NA,NA,NA,74.875,Overcast,285.19599999999997,151
2015,2015-07-29,Veskre,Ves3,Ves3GF,GF,2015-07-29T08:16:30Z,2015-07-29T08:18:00Z,90,557.6247368421052,NA,0.03,-6.969594622544034,-15.28705329777057,0.9928942179685877,1,pre,NA,pre,NA,NA,NA,NA,294.94666666666666,2015-07-29T08:18:30Z,2015-07-29T08:20:00Z,90,25.930526315789475,NA,0.03,8.317458675226534,0.9949819478777537,1,pre,NA,pre,NA,NA,NA,NA,295.37166666666667,120
2015,2015-07-29,Veskre,Ves3,Ves3GF,GF,2015-07-29T12:44:30Z,2015-07-29T12:46:00Z,90,950.0126315789473,NA,0.03,-5.685014861739845,-15.160102542944816,0.9057497790665358,1,pre,NA,pre,NA,NA,NA,NA,294.8712833333333,2015-07-29T12:47:00Z,2015-07-29T12:48:30Z,90,39.39721052631579,NA,0.03,9.475087681204972,0.9847238278194231,1,pre,NA,pre,NA,NA,NA,NA,294.9425,150
2017,2017-07-12,Veskre,Ves3,Ves3GF,GF,2017-07-12T08:36:15Z,2017-07-12T08:38:10Z,115,464.23125,10.3,NA,0.5493155913162775,-1.9635784975575221,0.8865515463179453,1,post,Cloudy,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,284.48999999999995,2017-07-12T08:38:45Z,2017-07-12T08:40:45Z,120,1.606044,10.3,NA,2.5128940888737996,0.9886397415132532,1,post,Cloudy,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,284.9915,150
2017,2017-07-12,Veskre,Ves3,Ves3GF,GF,2017-07-12T11:00:35Z,2017-07-12T11:02:35Z,120,2069.828,10.8,NA,3.1421583640225568,-2.8498547401329755,0.9707007547434002,1,post,Sunny,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,293.50399999999996,2017-07-12T11:03:20Z,2017-07-12T11:05:20Z,120,5.034732,10.8,NA,5.992013104155532,0.9851691918613961,1,post,Cloudy,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,294.2545,165
2017,2017-07-13,Veskre,Ves3,Ves3GF,GF,2017-07-13T07:56:00Z,2017-07-13T07:58:00Z,120,290.9916,10.3,NA,1.6898216501722032,-1.8572267027457252,0.9738746876426734,1,post,Overcast,NA,NA,NA,69.85,Overcast,285.24199999999996,2017-07-13T07:58:50Z,2017-07-13T08:00:50Z,120,0.8930524,10.3,NA,3.5470483529179284,0.9794318359885763,1,post,Overcast,NA,NA,NA,69.85,Overcast,284.741,170
2017,2017-07-13,Veskre,Ves3,Ves3GF,GF,2017-07-13T13:48:35Z,2017-07-13T13:50:35Z,120,452.3076,12.6,NA,4.112752934321606,-2.076715903613362,0.9790396037034877,1,post,Cloudy,NA,NA,NA,69.85,Overcast,289.24899999999997,2017-07-13T13:51:20Z,2017-07-13T13:53:20Z,120,1.352156,12.6,NA,6.189468837934968,0.9880102406776945,1,post,Cloudy,NA,NA,NA,69.85,Overcast,289.24899999999997,165
2017,2017-07-12,Veskre,Ves3,Ves3GF,GF,2017-07-12T09:44:55Z,2017-07-12T09:46:05Z,70,349.5492957746479,10.8,NA,1.8557918959739015,-0.6571021928998981,0.8903415536660892,2,post,Sunny,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,288.4525,2017-07-12T08:38:45Z,2017-07-12T08:40:45Z,120,1.606044,10.3,NA,2.5128940888737996,0.9886397415132532,1,post,Cloudy,NA,NA,NA,72.92500000000001,cloudy with rain; occasional sun,284.9915,3970
2017,2017-07-13,Veskre,Ves3,Ves3GF,GF,2017-07-13T08:48:27Z,2017-07-13T08:50:12Z,105,235.71981132075473,10.3,NA,1.718942778747728,-0.20403012271416032,0.9664643050359455,2,post,Overcast,NA,NA,NA,69.85,Overcast,284.9455,2017-07-13T08:50:46Z,2017-07-13T08:52:46Z,120,1.0801652892561984,10.3,NA,1.9229729014618884,0.9679918378428448,2,post,Overcast,NA,NA,NA,69.85,Overcast,284.9455,139
2016,2016-07-08,Veskre,Ves3,Ves3RTC,RTC,2016-07-08T09:42:20Z,2016-07-08T09:43:50Z,90,317.63421052631577,10.4,5,-2.4520345047182577,-4.562026496457566,0.9946883029474297,1,post,NA,,NA,NA,NA,NA,288.748,2016-07-08T09:45:05Z,2016-07-08T09:46:50Z,105,1.6173136363636365,10.4,5,2.109991991739309,0.9937551238999683,1,post,NA,,NA,NA,NA,NA,288.24699999999996,165
