siteID,blockID,treatment,plotID,burial_length,elements,value,detection_limit,burial_date,retrieval_date,notes
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Fe,1.64,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Mn,0.41,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Zn,0.76,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,B,0.35,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,S,15.89,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,FGB,Ulv2FGB,36,Al,12.53,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,NH4-N,3.28,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Ca,255.56,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Mg,52.87,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,K,57.74,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,P,4,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Fe,1.69,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Mn,0.65,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Zn,0.51,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,S,22.3,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv2,C,Ulv2C,36,Al,6.72,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,NO3-N,4.98,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,NH4-N,90.38,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Ca,1083.47,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Mg,264.13,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,K,640.8,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,P,6.17,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Fe,2.21,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Mn,6.5,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Zn,1.78,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,B,1.04,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,S,19.48,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FB,Ulv3FB,36,Al,14.73,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,NH4-N,13.94,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Ca,498.41,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Mg,123.4,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,K,109.97,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,P,8.26,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Fe,2,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Mn,4.03,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Zn,1.8,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,S,23.2,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GB,Ulv3GB,36,Al,6.72,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,NO3-N,3.8,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,NH4-N,2.72,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Ca,504.82,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Mg,112.34,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,K,50.77,4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,P,2.24,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Fe,2.28,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Mn,0.57,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Zn,0.71,0.2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,S,15.62,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,GF,Ulv3GF,36,Al,6.91,0.4,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,NO3-N,2.42,2,2021-08-04,2021-09-09,NA
Ulvehaugen,Ulv3,FGB,Ulv3FGB,36,Ca,716.9,2,2021-08-04,2021-09-09,NA
